eil51, Distance: 597.337290790307, Time: 0.20788097381591797 s, Memoria inicial: 81.5859375, Memory: 0.140625 MB
berlin52, Distance: 9908.048152079971, Time: 0.20548725128173828 s, Memoria inicial: 82.55078125, Memory: 0.00390625 MB
st70, Distance: 839.3956319790359, Time: 0.20681023597717285 s, Memoria inicial: 82.9609375, Memory: 0.01171875 MB
eil76, Distance: 685.2503834333481, Time: 0.20646238327026367 s, Memoria inicial: 83.49609375, Memory: 0.015625 MB
pr76, Distance: 141621.93361662608, Time: 0.20635986328125 s, Memoria inicial: 84.1171875, Memory: 0.01171875 MB
rat99, Distance: 1700.2816970707845, Time: 0.21047282218933105 s, Memoria inicial: 84.2890625, Memory: 0.0390625 MB
kroA100, Distance: 25701.041122533734, Time: 0.20760178565979004 s, Memoria inicial: 85.58984375, Memory: 0.01953125 MB
kroB100, Distance: 25623.104949914927, Time: 0.20974183082580566 s, Memoria inicial: 86.63671875, Memory: 0.03515625 MB
kroC100, Distance: 26443.04505591232, Time: 0.21039843559265137 s, Memoria inicial: 86.6640625, Memory: 0.0078125 MB
kroD100, Distance: 26053.55138801959, Time: 0.20796942710876465 s, Memoria inicial: 86.8984375, Memory: 0.01171875 MB
kroE100, Distance: 29598.043436858043, Time: 0.20607638359069824 s, Memoria inicial: 87.03125, Memory: 0.0828873 MB
rd100, Distance: 10559.878855374865, Time: 0.2076880931854248 s, Memoria inicial: 86.89453125, Memory: 0.0226668 MB
eil101, Distance: 804.4369084465479, Time: 0.20785760879516602 s, Memoria inicial: 86.91796875, Memory: 0.022544 MB
lin105, Distance: 18413.19509019017, Time: 0.2131497859954834 s, Memoria inicial: 87.12109375, Memory: 0.015625 MB
pr107, Distance: 43828.30558737257, Time: 0.20788192749023438 s, Memoria inicial: 87.04296875, Memory: 0.058585 MB
pr124, Distance: 74115.53713664762, Time: 0.21741676330566406 s, Memoria inicial: 87.71484375, Memory: 0.00390625 MB
bier127, Distance: 156555.33810728486, Time: 0.2190704345703125 s, Memoria inicial: 88.4453125, Memory: 0.046875 MB
ch130, Distance: 7969.422549505735, Time: 0.2183232307434082 s, Memoria inicial: 89.36328125, Memory: 0.00390625 MB
pr136, Distance: 142678.91525720703, Time: 0.2147073745727539 s, Memoria inicial: 89.4453125, Memory: 0.0078125 MB
pr144, Distance: 79969.32323776952, Time: 0.21403789520263672 s, Memoria inicial: 89.6171875, Memory: 0.125 MB
ch150, Distance: 8242.649775914966, Time: 0.21113085746765137 s, Memoria inicial: 90.74609375, Memory: 0.421875 MB
kroA150, Distance: 34185.91318311936, Time: 0.23836302757263184 s, Memoria inicial: 91.93359375, Memory: 0.66796875 MB
kroB150, Distance: 34625.10588094178, Time: 0.2131028175354004 s, Memoria inicial: 91.421875, Memory: 0.01171875 MB
pr152, Distance: 83166.98346783097, Time: 0.2157580852508545 s, Memoria inicial: 92.0078125, Memory: 0.01171875 MB
u159, Distance: 57292.50842435215, Time: 0.21289610862731934 s, Memoria inicial: 91.7734375, Memory: 0.0234375 MB
rat195, Distance: 3293.6659014343, Time: 0.21509933471679688 s, Memoria inicial: 92.421875, Memory: 0.19921875 MB
d198, Distance: 17285.199946022534, Time: 0.2248847484588623 s, Memoria inicial: 94.97265625, Memory: 0.01171875 MB
kroA200, Distance: 39488.21360771799, Time: 0.2407684326171875 s, Memoria inicial: 96.359375, Memory: 0.10546875 MB
kroB200, Distance: 40036.88421558708, Time: 0.22620081901550293 s, Memoria inicial: 98.18359375, Memory: 0.05859375 MB
ts225, Distance: 184721.6277575073, Time: 0.24253201484680176 s, Memoria inicial: 98.60546875, Memory: 0.57421875 MB
tsp225, Distance: 5389.610888125765, Time: 0.23431682586669922 s, Memoria inicial: 99.83984375, Memory: 0.01171875 MB
pr226, Distance: 113577.2998852764, Time: 0.24251580238342285 s, Memoria inicial: 100.97265625, Memory: 0.24609375 MB
gil262, Distance: 3207.8877467081948, Time: 0.23296022415161133 s, Memoria inicial: 102.1640625, Memory: 0.53515625 MB
pr264, Distance: 67357.64081010551, Time: 0.23042654991149902 s, Memoria inicial: 104.734375, Memory: 0.98046875 MB
a280, Distance: 3658.619535962223, Time: 0.2354750633239746 s, Memoria inicial: 105.0078125, Memory: 0.2578125 MB
pr299, Distance: 63426.20581909845, Time: 0.2404322624206543 s, Memoria inicial: 108.11328125, Memory: 0.80859375 MB
lin318, Distance: 57330.842631418134, Time: 0.23746180534362793 s, Memoria inicial: 109.734375, Memory: 0.67578125 MB
linhp318, Distance: 57330.842631418134, Time: 0.26434946060180664 s, Memoria inicial: 114.453125, Memory: 0.15625 MB
rd400, Distance: 20420.628628693503, Time: 0.3410203456878662 s, Memoria inicial: 112.84765625, Memory: 0.58203125 MB
fl417, Distance: 16233.62253278155, Time: 0.3111233711242676 s, Memoria inicial: 131.81640625, Memory: 7.55859375 MB
pr439, Distance: 144765.63523207064, Time: 0.32045459747314453 s, Memoria inicial: 135.17578125, Memory: 2.58203125 MB
pcb442, Distance: 69315.18314654767, Time: 0.30402255058288574 s, Memoria inicial: 140.9453125, Memory: 2.33203125 MB
d493, Distance: 43905.08993090393, Time: 0.35900259017944336 s, Memoria inicial: 144.03125, Memory: 7.8671875 MB
u574, Distance: 49453.48361448346, Time: 0.40666985511779785 s, Memoria inicial: 153.5234375, Memory: 0.12109375 MB
rat575, Distance: 9388.553014818039, Time: 0.4013679027557373 s, Memoria inicial: 178.234375, Memory: 8.73046875 MB
p654, Distance: 48719.75422600665, Time: 0.4771249294281006 s, Memoria inicial: 183.85546875, Memory: 5.5859375 MB
d657, Distance: 64459.87550267209, Time: 0.5205998420715332 s, Memoria inicial: 199.1640625, Memory: 4.6875 MB
u724, Distance: 57654.501779874685, Time: 0.635918140411377 s, Memoria inicial: 217.734375, Memory: 17.44140625 MB
rat783, Distance: 12017.954231897345, Time: 0.6494355201721191 s, Memoria inicial: 254.84375, Memory: 22.0546875 MB
pr1002, Distance: 348016.38948516874, Time: 1.0146353244781494 s, Memoria inicial: 291.53515625, Memory: 18.796875 MB
u1060, Distance: 305056.57762684097, Time: 1.3250224590301514 s, Memoria inicial: 374.5, Memory: 32.9453125 MB
vm1084, Distance: 312696.75894784444, Time: 1.676354169845581 s, Memoria inicial: 421.3203125, Memory: 64.0234375 MB
pcb1173, Distance: 80573.15960465491, Time: 1.444577693939209 s, Memoria inicial: 431.640625, Memory: 80.26171875 MB
d1291, Distance: 76323.19481068669, Time: 2.1505987644195557 s, Memoria inicial: 458.4609375, Memory: 75.515625 MB
rl1304, Distance: 348861.8965586604, Time: 2.130950927734375 s, Memoria inicial: 549.58984375, Memory: 88.72265625 MB
rl1323, Distance: 383696.4512578047, Time: 2.7910213470458984 s, Memoria inicial: 575.1640625, Memory: 102.22265625 MB
nrw1379, Distance: 79014.12077248331, Time: 2.710171937942505 s, Memoria inicial: 595.87890625, Memory: 100.50390625 MB
fl1400, Distance: 27833.31769305185, Time: 2.4946422576904297 s, Memoria inicial: 686.0703125, Memory: 139.3203125 MB
u1432, Distance: 222024.11202493982, Time: 2.756373882293701 s, Memoria inicial: 679.41796875, Memory: 67.68359375 MB
fl1577, Distance: 32125.533307612037, Time: 3.1977646350860596 s, Memoria inicial: 713.35546875, Memory: 163.48828125 MB
d1655, Distance: 85124.89965716406, Time: 2.9959490299224854 s, Memoria inicial: 811.6015625, Memory: 189.9921875 MB
vm1748, Distance: 443433.65222590836, Time: 3.830042600631714 s, Memoria inicial: 855.640625, Memory: 143.51953125 MB
u1817, Distance: 89123.41177101576, Time: 4.133056163787842 s, Memoria inicial: 1025.68359375, Memory: 192.97265625 MB
rl1889, Distance: 445437.9937649355, Time: 4.030333757400513 s, Memoria inicial: 1081.078125, Memory: 205.015625 MB
d2103, Distance: 140803.22618992813, Time: 5.222201585769653 s, Memoria inicial: 1164.3515625, Memory: 230.375 MB
u2152, Distance: 100666.14006312043, Time: 5.321832895278931 s, Memoria inicial: 1264.62109375, Memory: 268.10546875 MB
u2319, Distance: 405632.6557932765, Time: 6.5174055099487305 s, Memoria inicial: 1439.2734375, Memory: 344.1171875 MB
pr2392, Distance: 524996.6028769164, Time: 6.005773305892944 s, Memoria inicial: 1561.875, Memory: 381.640625 MB
pcb3038, Distance: 196565.0606849897, Time: 13.067020177841187 s, Memoria inicial: 1737.26953125, Memory: 310.453125 MB
fl3795, Distance: 40385.22830158964, Time: 31.62670397758484 s, Memoria inicial: 2979.62109375, Memory: 20.5234375 MB
